"","SEX","age2","ftyr","inc_bucket","college","race2","marital_status","urbanicity","total"
"931","Female","Millennial","full-time year-round worker","middle_income","college","Non-white","Married","urban",57924
"932","Female","Boomers","full-time year-round worker","middle_income","college","Non-white","Divorced/separated/widowed","suburban",57878
"933","Male","Boomers","not ftyr","NA","non-college","White","Divorced/separated/widowed","suburban",57869
"934","Female","Boomers","not ftyr","middle_income","college","Non-white","Divorced/separated/widowed","urban",57728
"935","Male","Silent","not ftyr","middle_income","non-college","Non-white","Married","rural",57707
"936","Female","Millennial","full-time year-round worker","low_income","college","White","Never married","suburban",57697
"937","Female","Millennial","full-time year-round worker","middle_income","college","White","Married","urban",57685
"938","Male","Boomers","full-time year-round worker","low_income","non-college","Non-white","Married","urban",57682
"939","Female","Boomers","full-time year-round worker","middle_income","college","White","Married","rural",57575
"940","Female","Gen X","not ftyr","low_income","college","White","Married","suburban",57382
"941","Male","Gen X","full-time year-round worker","upper_middle_income","college","Non-white","Never married","suburban",57376
"942","Male","Boomers","full-time year-round worker","middle_income","non-college","Non-white","Never married","suburban",57315
"943","Male","Millennial","not ftyr","low_income","non-college","Non-white","Married","rural",57176
"944","Male","Boomers","not ftyr","upper_middle_income","non-college","White","Never married","suburban",57082
"945","Female","Millennial","full-time year-round worker","high_income","non-college","White","Married","suburban",56842
"946","Male","Millennial","not ftyr","upper_middle_income","non-college","White","Married","rural",56585
"947","Male","Boomers","not ftyr","upper_middle_income","non-college","Non-white","Married","rural",56503
"948","Male","Silent","not ftyr","low_income","non-college","Non-white","Married","rural",56275
"949","Male","Millennial","full-time year-round worker","high_income","non-college","White","Never married","rural",56239
"950","Male","Gen X","full-time year-round worker","low_income","non-college","Non-white","Divorced/separated/widowed","suburban",56228
"951","Male","Gen X","not ftyr","high_income","non-college","White","Married","suburban",56156
"952","Male","Silent","not ftyr","NA","non-college","White","Divorced/separated/widowed","suburban",56145
"953","Male","Gen X","not ftyr","high_income","college","White","Married","urban",56024
"954","Female","Millennial","not ftyr","high_income","college","Non-white","Never married","urban",55869
"955","Female","Gen X","not ftyr","high_income","non-college","Non-white","Married","urban",55441
"956","Female","Boomers","full-time year-round worker","upper_middle_income","college","White","Never married","urban",55313
"957","Male","Boomers","not ftyr","high_income","non-college","White","Married","urban",55210
"958","Male","Gen Z","not ftyr","high_income","non-college","Non-white","Never married","urban",55207
"959","Female","Silent","not ftyr","middle_income","college","White","Married","urban",54715
"960","Male","Gen X","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","rural",54704
"961","Female","Boomers","not ftyr","low_income","college","White","Married","rural",54493
"962","Female","Gen Z","full-time year-round worker","upper_middle_income","non-college","White","Never married","suburban",54476
"963","Female","Boomers","not ftyr","low_income","college","Non-white","Divorced/separated/widowed","urban",54415
"964","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Divorced/separated/widowed","rural",54397
"965","Male","Millennial","full-time year-round worker","low_income","non-college","White","Never married","urban",54373
"966","Male","Boomers","full-time year-round worker","low_income","non-college","White","Married","suburban",54242
"967","Male","Gen Z","full-time year-round worker","upper_middle_income","non-college","White","Never married","rural",54176
"968","Female","Boomers","full-time year-round worker","upper_middle_income","non-college","White","Never married","suburban",54173
"969","Female","Gen Z","not ftyr","upper_middle_income","non-college","Non-white","Never married","rural",53975
"970","Male","Gen X","not ftyr","NA","non-college","Non-white","Never married","urban",53951
"971","Male","Boomers","not ftyr","middle_income","non-college","Non-white","Divorced/separated/widowed","rural",53926
"972","Female","Silent","not ftyr","upper_middle_income","college","White","Divorced/separated/widowed","urban",53771
"973","Male","Gen X","not ftyr","low_income","non-college","White","Divorced/separated/widowed","urban",53767
"974","Male","Boomers","full-time year-round worker","low_income","non-college","Non-white","Married","suburban",53613
"975","Male","Boomers","full-time year-round worker","low_income","non-college","White","Divorced/separated/widowed","rural",53598
"976","Male","Gen X","not ftyr","upper_middle_income","college","Non-white","Married","urban",53581
"977","Female","Gen X","not ftyr","upper_middle_income","non-college","Non-white","Never married","suburban",53560
"978","Male","Gen X","not ftyr","NA","non-college","White","Divorced/separated/widowed","suburban",53498
"979","Female","Gen X","not ftyr","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","suburban",53364
"980","Male","Boomers","full-time year-round worker","high_income","non-college","White","Divorced/separated/widowed","suburban",53319
"981","Male","Gen X","full-time year-round worker","middle_income","college","Non-white","Never married","urban",53210
"982","Female","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Never married","rural",53117
"983","Male","Millennial","not ftyr","high_income","college","Non-white","Never married","urban",52974
"984","Female","Millennial","not ftyr","high_income","college","Non-white","Married","suburban",52966
"985","Female","Gen Z","full-time year-round worker","middle_income","non-college","White","Never married","suburban",52962
"986","Female","Millennial","not ftyr","high_income","college","Non-white","Married","urban",52881
"987","Female","Gen X","full-time year-round worker","upper_middle_income","college","Non-white","Married","rural",52874
"988","Male","Boomers","not ftyr","middle_income","college","White","Divorced/separated/widowed","rural",52808
"989","Male","Millennial","not ftyr","high_income","non-college","White","Never married","rural",52807
"990","Male","Millennial","not ftyr","low_income","non-college","White","Divorced/separated/widowed","rural",52785
"991","Female","Gen X","full-time year-round worker","middle_income","college","White","Divorced/separated/widowed","urban",52744
"992","Male","Millennial","not ftyr","low_income","non-college","White","Divorced/separated/widowed","suburban",52741
"993","Female","Millennial","full-time year-round worker","upper_middle_income","college","White","Divorced/separated/widowed","suburban",52688
"994","Female","Millennial","full-time year-round worker","low_income","non-college","White","Divorced/separated/widowed","suburban",52626
"995","Female","Gen Z","not ftyr","high_income","non-college","Non-white","Never married","urban",52623
"996","Female","Millennial","not ftyr","middle_income","non-college","Non-white","Divorced/separated/widowed","urban",52556
"997","Male","Millennial","full-time year-round worker","high_income","non-college","Non-white","Married","suburban",52465
"998","Male","Gen X","full-time year-round worker","upper_middle_income","college","Non-white","Divorced/separated/widowed","suburban",52408
"999","Female","Millennial","not ftyr","upper_middle_income","college","White","Never married","rural",52368
"1000","Female","Millennial","not ftyr","NA","non-college","White","Never married","rural",52289
"1001","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","rural",52281
"1002","Male","Gen Z","not ftyr","high_income","non-college","White","Never married","rural",52101
"1003","Male","Gen X","not ftyr","low_income","non-college","White","Married","urban",52090
"1004","Male","Boomers","full-time year-round worker","middle_income","college","Non-white","Married","urban",52047
"1005","Male","Silent","not ftyr","upper_middle_income","college","Non-white","Married","suburban",52023
"1006","Male","Millennial","not ftyr","middle_income","non-college","White","Married","urban",51901
"1007","Male","Silent","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","rural",51789
"1008","Female","Gen X","full-time year-round worker","upper_middle_income","college","White","Divorced/separated/widowed","rural",51779
"1009","Female","Boomers","full-time year-round worker","middle_income","non-college","Non-white","Divorced/separated/widowed","rural",51764
"1010","Male","Boomers","not ftyr","high_income","non-college","Non-white","Married","suburban",51695
"1011","Female","Gen X","full-time year-round worker","high_income","college","White","Never married","urban",51504
"1012","Male","Millennial","full-time year-round worker","low_income","non-college","Non-white","Married","rural",51371
"1013","Male","Gen Z","full-time year-round worker","middle_income","non-college","Non-white","Never married","urban",51335
"1014","Female","Gen X","not ftyr","upper_middle_income","college","White","Divorced/separated/widowed","suburban",51264
"1015","Male","Boomers","full-time year-round worker","upper_middle_income","college","White","Never married","urban",51220
"1016","Female","Gen X","full-time year-round worker","low_income","non-college","Non-white","Married","suburban",51048
"1017","Female","Boomers","not ftyr","middle_income","non-college","White","Never married","urban",50994
"1018","Male","Boomers","not ftyr","upper_middle_income","non-college","White","Divorced/separated/widowed","urban",50990
"1019","Male","Millennial","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","rural",50790
"1020","Female","Millennial","not ftyr","middle_income","college","White","Never married","rural",50781
"1021","Female","Gen X","not ftyr","middle_income","non-college","White","Never married","urban",50605
"1022","Female","Silent","not ftyr","high_income","college","White","Married","urban",50537
"1023","Male","Gen X","not ftyr","middle_income","college","Non-white","Married","suburban",50362
"1024","Male","Millennial","not ftyr","middle_income","non-college","Non-white","Married","rural",50345
"1025","Male","Boomers","full-time year-round worker","middle_income","college","White","Never married","suburban",50242
"1026","Female","Gen X","not ftyr","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","urban",50239
"1027","Male","Gen X","not ftyr","NA","non-college","Non-white","Divorced/separated/widowed","suburban",50122
"1028","Male","Gen X","not ftyr","NA","non-college","Non-white","Divorced/separated/widowed","rural",50057
"1029","Female","Gen X","full-time year-round worker","low_income","non-college","White","Never married","suburban",49851
"1030","Male","Boomers","not ftyr","middle_income","college","White","Divorced/separated/widowed","urban",49828
"1031","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","rural",49753
"1032","Female","Boomers","not ftyr","upper_middle_income","non-college","Non-white","Never married","urban",49645
"1033","Female","Gen X","not ftyr","upper_middle_income","non-college","White","Divorced/separated/widowed","rural",49620
"1034","Male","Boomers","not ftyr","high_income","non-college","Non-white","Married","urban",49582
"1035","Male","Boomers","not ftyr","low_income","college","White","Never married","urban",49531
"1036","Female","Boomers","full-time year-round worker","high_income","non-college","White","Divorced/separated/widowed","suburban",49330
"1037","Female","Millennial","not ftyr","NA","non-college","White","Never married","urban",49194
"1038","Male","Gen X","not ftyr","middle_income","non-college","Non-white","Never married","rural",49100
"1039","Male","Boomers","not ftyr","NA","non-college","White","Divorced/separated/widowed","rural",49002
"1040","Male","Boomers","full-time year-round worker","middle_income","college","White","Married","urban",49000
"1041","Female","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Never married","urban",48990
"1042","Female","Boomers","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","urban",48745
"1043","Male","Boomers","not ftyr","low_income","college","White","Divorced/separated/widowed","urban",48722
"1044","Female","Gen X","full-time year-round worker","low_income","non-college","Non-white","Married","urban",48622
"1045","Male","Boomers","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","urban",48589
"1046","Female","Gen X","not ftyr","low_income","college","Non-white","Married","suburban",48429
"1047","Male","Gen X","full-time year-round worker","low_income","non-college","Non-white","Divorced/separated/widowed","urban",48425
"1048","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","suburban",48337
"1049","Female","Millennial","not ftyr","low_income","college","Non-white","Married","suburban",48204
"1050","Male","Boomers","not ftyr","NA","non-college","Non-white","Never married","suburban",48143
"1051","Female","Millennial","full-time year-round worker","low_income","non-college","Non-white","Married","suburban",48100
"1052","Male","Gen Z","full-time year-round worker","middle_income","non-college","White","Never married","rural",48069
"1053","Female","Millennial","full-time year-round worker","low_income","non-college","White","Divorced/separated/widowed","rural",47861
"1054","Male","Boomers","not ftyr","low_income","college","White","Divorced/separated/widowed","rural",47625
"1055","Female","Millennial","not ftyr","low_income","college","Non-white","Married","urban",47611
"1056","Male","Gen X","full-time year-round worker","low_income","non-college","Non-white","Married","rural",47528
"1057","Female","Millennial","full-time year-round worker","low_income","non-college","White","Never married","urban",47486
"1058","Male","Boomers","full-time year-round worker","high_income","college","White","Divorced/separated/widowed","urban",47014
"1059","Female","Silent","not ftyr","high_income","college","White","Divorced/separated/widowed","suburban",46995
"1060","Male","Silent","full-time year-round worker","upper_middle_income","non-college","White","Married","suburban",46991
"1061","Female","Gen X","full-time year-round worker","high_income","college","White","Never married","suburban",46765
"1062","Male","Millennial","full-time year-round worker","high_income","non-college","Non-white","Married","urban",46634
"1063","Female","Gen Z","full-time year-round worker","middle_income","non-college","Non-white","Never married","suburban",46443
"1064","Female","Boomers","not ftyr","high_income","college","White","Divorced/separated/widowed","suburban",46251
"1065","Male","Gen X","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","urban",46178
"1066","Female","Silent","not ftyr","low_income","college","White","Married","suburban",46158
"1067","Female","Boomers","not ftyr","upper_middle_income","college","White","Never married","suburban",46117
"1068","Male","Gen X","not ftyr","upper_middle_income","non-college","White","Never married","urban",46008
"1069","Female","Boomers","not ftyr","middle_income","non-college","White","Never married","rural",45961
"1070","Male","Silent","not ftyr","middle_income","college","White","Divorced/separated/widowed","urban",45748
"1071","Male","Millennial","full-time year-round worker","NA","non-college","Non-white","Never married","suburban",45729
"1072","Female","Gen X","not ftyr","middle_income","college","White","Never married","suburban",45650
"1073","Female","Millennial","not ftyr","high_income","college","Non-white","Never married","suburban",45632
"1074","Female","Boomers","full-time year-round worker","upper_middle_income","college","White","Divorced/separated/widowed","rural",45579
"1075","Male","Silent","not ftyr","upper_middle_income","non-college","White","Divorced/separated/widowed","rural",45413
"1076","Male","Silent","not ftyr","middle_income","college","Non-white","Married","suburban",45338
"1077","Female","Gen X","full-time year-round worker","low_income","non-college","Non-white","Divorced/separated/widowed","rural",45324
"1078","Female","Millennial","not ftyr","upper_middle_income","non-college","Non-white","Married","rural",45022
"1079","Male","Boomers","not ftyr","high_income","college","Non-white","Married","urban",44964
"1080","Male","Gen X","full-time year-round worker","upper_middle_income","college","Non-white","Divorced/separated/widowed","urban",44945
"1081","Male","Gen X","full-time year-round worker","upper_middle_income","college","Non-white","Married","rural",44869
"1082","Female","Gen X","full-time year-round worker","high_income","non-college","White","Divorced/separated/widowed","suburban",44825
"1083","Male","Gen X","full-time year-round worker","high_income","non-college","Non-white","Never married","urban",44577
"1084","Female","Boomers","full-time year-round worker","middle_income","college","Non-white","Divorced/separated/widowed","urban",44492
"1085","Female","Boomers","full-time year-round worker","middle_income","non-college","White","Never married","urban",44469
"1086","Female","Silent","not ftyr","high_income","non-college","Non-white","Divorced/separated/widowed","suburban",44419
"1087","Female","Gen X","full-time year-round worker","low_income","non-college","White","Married","rural",44406
"1088","Female","Boomers","not ftyr","middle_income","college","White","Never married","urban",44351
"1089","Male","Gen X","full-time year-round worker","middle_income","college","Non-white","Never married","suburban",44169
"1090","Male","Boomers","not ftyr","middle_income","college","White","Never married","urban",44062
"1091","Male","Gen X","not ftyr","upper_middle_income","college","White","Married","rural",44040
"1092","Male","Silent","not ftyr","low_income","non-college","White","Never married","suburban",43960
"1093","Male","Gen X","full-time year-round worker","high_income","college","White","Divorced/separated/widowed","urban",43952
"1094","Female","Silent","not ftyr","high_income","non-college","Non-white","Divorced/separated/widowed","urban",43939
"1095","Female","Millennial","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","rural",43907
"1096","Female","Boomers","not ftyr","upper_middle_income","non-college","White","Never married","suburban",43734
"1097","Male","Millennial","not ftyr","upper_middle_income","college","White","Never married","rural",43732
"1098","Male","Gen X","full-time year-round worker","high_income","college","Non-white","Never married","urban",43146
"1099","Male","Millennial","not ftyr","upper_middle_income","college","White","Married","urban",43052
"1100","Male","Millennial","not ftyr","middle_income","non-college","Non-white","Divorced/separated/widowed","suburban",43015
"1101","Female","Gen Z","not ftyr","high_income","non-college","White","Never married","rural",42995
"1102","Female","Silent","not ftyr","NA","non-college","Non-white","Divorced/separated/widowed","suburban",42897
"1103","Female","Silent","not ftyr","high_income","non-college","White","Divorced/separated/widowed","urban",42819
"1104","Male","Gen X","not ftyr","middle_income","college","Non-white","Married","urban",42718
"1105","Female","Millennial","not ftyr","low_income","college","White","Never married","rural",42624
"1106","Female","Gen X","not ftyr","middle_income","non-college","Non-white","Divorced/separated/widowed","rural",42551
"1107","Male","Silent","full-time year-round worker","high_income","college","White","Married","suburban",42514
"1108","Male","Gen X","not ftyr","middle_income","college","White","Never married","suburban",42248
"1109","Female","Boomers","not ftyr","upper_middle_income","college","Non-white","Divorced/separated/widowed","suburban",42235
"1110","Male","Silent","not ftyr","high_income","college","White","Married","rural",42146
"1111","Male","Silent","not ftyr","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","urban",42066
"1112","Male","Gen X","not ftyr","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","suburban",41955
"1113","Male","Boomers","not ftyr","upper_middle_income","non-college","Non-white","Never married","urban",41929
"1114","Male","Millennial","not ftyr","high_income","college","Non-white","Never married","suburban",41804
"1115","Male","Boomers","not ftyr","NA","non-college","Non-white","Divorced/separated/widowed","suburban",41738
"1116","Male","Boomers","not ftyr","low_income","college","White","Married","urban",41613
"1117","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","urban",41611
"1118","Male","Gen X","full-time year-round worker","high_income","non-college","White","Never married","suburban",41577
"1119","Female","Boomers","not ftyr","NA","non-college","White","Divorced/separated/widowed","suburban",41451
"1120","Male","Silent","not ftyr","upper_middle_income","college","Non-white","Married","urban",41335
"1121","Male","Gen Z","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","urban",41103
"1122","Male","Gen X","not ftyr","upper_middle_income","non-college","White","Divorced/separated/widowed","rural",41026
"1123","Female","Silent","not ftyr","low_income","non-college","Non-white","Married","rural",40994
"1124","Female","Millennial","full-time year-round worker","high_income","college","White","Married","rural",40954
"1125","Male","Millennial","full-time year-round worker","low_income","college","White","Never married","suburban",40849
"1126","Male","Millennial","not ftyr","middle_income","college","Non-white","Married","suburban",40662
"1127","Male","Boomers","full-time year-round worker","middle_income","non-college","Non-white","Divorced/separated/widowed","rural",40528
"1128","Male","Boomers","not ftyr","NA","non-college","Non-white","Never married","urban",40421
"1129","Male","Millennial","not ftyr","middle_income","college","White","Never married","rural",40273
"1130","Female","Gen X","not ftyr","low_income","college","Non-white","Married","urban",40077
"1131","Male","Millennial","not ftyr","upper_middle_income","non-college","White","Divorced/separated/widowed","suburban",40075
"1132","Female","Silent","not ftyr","middle_income","non-college","Non-white","Married","rural",40075
"1133","Female","Boomers","not ftyr","upper_middle_income","college","Non-white","Divorced/separated/widowed","urban",40011
"1134","Male","Gen X","not ftyr","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","urban",39867
"1135","Male","Silent","not ftyr","NA","non-college","White","Divorced/separated/widowed","rural",39706
"1136","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Divorced/separated/widowed","rural",39647
"1137","Female","Silent","not ftyr","NA","non-college","Non-white","Divorced/separated/widowed","urban",39413
"1138","Male","Gen X","not ftyr","upper_middle_income","non-college","White","Never married","rural",39346
"1139","Male","Silent","not ftyr","middle_income","college","White","Divorced/separated/widowed","rural",39045
"1140","Male","Gen X","not ftyr","low_income","college","White","Never married","suburban",38957
"1141","Female","Gen X","not ftyr","middle_income","non-college","Non-white","Never married","rural",38936
"1142","Male","Gen X","not ftyr","NA","non-college","Non-white","Married","rural",38905
"1143","Male","Silent","not ftyr","NA","non-college","White","Married","suburban",38757
"1144","Female","Gen X","full-time year-round worker","low_income","non-college","White","Married","suburban",38754
"1145","Male","Gen X","full-time year-round worker","low_income","non-college","White","Never married","rural",38705
"1146","Female","Silent","not ftyr","middle_income","college","Non-white","Divorced/separated/widowed","suburban",38474
"1147","Male","Gen X","full-time year-round worker","middle_income","college","Non-white","Divorced/separated/widowed","suburban",38359
"1148","Female","Boomers","not ftyr","low_income","college","White","Married","urban",38326
"1149","Male","Silent","not ftyr","low_income","college","White","Married","rural",38279
"1150","Male","Millennial","not ftyr","middle_income","college","White","Married","urban",38276
"1151","Female","Boomers","full-time year-round worker","high_income","college","White","Divorced/separated/widowed","urban",38187
"1152","Male","Millennial","not ftyr","upper_middle_income","college","Non-white","Married","suburban",38096
"1153","Female","Millennial","not ftyr","high_income","non-college","Non-white","Married","suburban",38047
"1154","Female","Boomers","not ftyr","low_income","college","White","Never married","urban",38036
"1155","Male","Millennial","not ftyr","low_income","non-college","White","Married","urban",37911
"1156","Male","Millennial","full-time year-round worker","upper_middle_income","college","White","Divorced/separated/widowed","suburban",37889
"1157","Male","Gen X","not ftyr","high_income","college","Non-white","Married","suburban",37622
"1158","Female","Boomers","not ftyr","low_income","college","Non-white","Married","suburban",37441
"1159","Female","Boomers","full-time year-round worker","middle_income","college","Non-white","Married","suburban",37429
"1160","Female","Silent","not ftyr","low_income","college","Non-white","Divorced/separated/widowed","urban",37382
"1161","Female","Silent","not ftyr","middle_income","non-college","White","Never married","suburban",37365
"1162","Male","Boomers","full-time year-round worker","upper_middle_income","non-college","White","Never married","urban",37039
"1163","Male","Millennial","not ftyr","low_income","college","White","Never married","rural",36987
"1164","Female","Silent","not ftyr","NA","non-college","White","Married","suburban",36946
"1165","Male","Gen X","full-time year-round worker","upper_middle_income","college","White","Divorced/separated/widowed","rural",36861
"1166","Female","Millennial","full-time year-round worker","low_income","non-college","Non-white","Divorced/separated/widowed","urban",36758
"1167","Male","Millennial","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","suburban",36736
"1168","Male","Boomers","not ftyr","low_income","college","Non-white","Married","urban",36716
"1169","Male","Silent","not ftyr","middle_income","college","Non-white","Married","urban",36563
"1170","Female","Gen X","not ftyr","low_income","college","White","Never married","suburban",36537
"1171","Female","Millennial","full-time year-round worker","low_income","non-college","White","Married","suburban",36518
"1172","Male","Millennial","not ftyr","NA","non-college","Non-white","Married","rural",36337
"1173","Female","Millennial","not ftyr","high_income","non-college","White","Never married","rural",36255
"1174","Male","Boomers","not ftyr","upper_middle_income","college","White","Divorced/separated/widowed","urban",36249
"1175","Female","Millennial","full-time year-round worker","high_income","non-college","White","Never married","urban",36170
"1176","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","urban",36134
"1177","Male","Millennial","full-time year-round worker","high_income","college","White","Married","rural",36131
"1178","Female","Millennial","full-time year-round worker","low_income","non-college","White","Married","rural",36071
"1179","Male","Boomers","not ftyr","low_income","college","Non-white","Married","suburban",36057
"1180","Male","Silent","not ftyr","upper_middle_income","non-college","White","Divorced/separated/widowed","urban",35974
"1181","Female","Gen X","full-time year-round worker","high_income","college","Non-white","Never married","urban",35859
"1182","Female","Boomers","not ftyr","high_income","non-college","Non-white","Divorced/separated/widowed","urban",35837
"1183","Male","Gen X","full-time year-round worker","middle_income","college","White","Divorced/separated/widowed","rural",35824
"1184","Female","Gen X","not ftyr","upper_middle_income","college","White","Never married","suburban",35784
"1185","Female","Silent","not ftyr","middle_income","college","Non-white","Divorced/separated/widowed","urban",35778
"1186","Female","Gen X","full-time year-round worker","low_income","non-college","Non-white","Never married","rural",35777
"1187","Female","Silent","not ftyr","low_income","non-college","White","Never married","urban",35674
"1188","Male","Millennial","not ftyr","low_income","college","White","Married","suburban",35568
"1189","Female","Gen X","full-time year-round worker","middle_income","college","White","Married","urban",35476
"1190","Female","Gen X","full-time year-round worker","middle_income","college","White","Never married","rural",35470
"1191","Female","Boomers","not ftyr","upper_middle_income","college","White","Divorced/separated/widowed","rural",35374
"1192","Male","Millennial","not ftyr","upper_middle_income","college","Non-white","Married","urban",35360
"1193","Female","Gen X","not ftyr","low_income","college","Non-white","Divorced/separated/widowed","suburban",35269
"1194","Male","Silent","not ftyr","low_income","college","White","Divorced/separated/widowed","urban",35229
"1195","Male","Boomers","full-time year-round worker","upper_middle_income","college","White","Divorced/separated/widowed","rural",35225
"1196","Female","Boomers","full-time year-round worker","low_income","non-college","Non-white","Never married","urban",35195
"1197","Male","Millennial","not ftyr","middle_income","college","Non-white","Married","urban",35187
"1198","Male","Boomers","not ftyr","NA","non-college","White","Never married","rural",35147
"1199","Female","Gen Z","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","suburban",35124
"1200","Female","Boomers","not ftyr","high_income","non-college","Non-white","Divorced/separated/widowed","suburban",34987
"1201","Female","Gen X","full-time year-round worker","high_income","college","White","Divorced/separated/widowed","urban",34834
"1202","Male","Boomers","full-time year-round worker","low_income","non-college","Non-white","Divorced/separated/widowed","suburban",34811
"1203","Male","Millennial","full-time year-round worker","high_income","non-college","White","Married","rural",34682
"1204","Female","Silent","not ftyr","high_income","non-college","White","Married","urban",34678
"1205","Female","Boomers","full-time year-round worker","middle_income","college","White","Never married","urban",34595
"1206","Female","Silent","not ftyr","high_income","non-college","White","Married","rural",34523
"1207","Female","Boomers","full-time year-round worker","middle_income","non-college","White","Never married","rural",34514
"1208","Female","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Never married","rural",34495
"1209","Female","Millennial","full-time year-round worker","low_income","college","Non-white","Never married","suburban",34492
"1210","Female","Boomers","not ftyr","low_income","college","Non-white","Married","urban",34491
"1211","Female","Millennial","full-time year-round worker","low_income","college","White","Never married","urban",34487
"1212","Male","Silent","not ftyr","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","suburban",34338
"1213","Female","Boomers","not ftyr","upper_middle_income","non-college","Non-white","Never married","suburban",34283
"1214","Male","Gen X","not ftyr","upper_middle_income","college","White","Never married","suburban",34269
"1215","Female","Gen Z","full-time year-round worker","middle_income","non-college","Non-white","Never married","urban",34243
"1216","Male","Silent","not ftyr","low_income","college","White","Married","urban",34197
"1217","Female","Boomers","full-time year-round worker","low_income","non-college","White","Married","rural",34037
"1218","Male","Gen X","not ftyr","middle_income","college","White","Married","urban",34024
"1219","Female","Millennial","not ftyr","upper_middle_income","non-college","White","Divorced/separated/widowed","rural",33969
"1220","Female","Millennial","not ftyr","NA","non-college","Non-white","Never married","rural",33889
"1221","Female","Silent","not ftyr","NA","college","White","Divorced/separated/widowed","suburban",33752
"1222","Female","Millennial","full-time year-round worker","low_income","non-college","Non-white","Married","urban",33739
"1223","Male","Boomers","not ftyr","high_income","college","White","Divorced/separated/widowed","suburban",33646
"1224","Female","Gen X","not ftyr","middle_income","college","Non-white","Divorced/separated/widowed","suburban",33595
"1225","Female","Millennial","full-time year-round worker","high_income","non-college","Non-white","Married","suburban",33526
"1226","Male","Gen X","not ftyr","low_income","college","White","Married","suburban",33502
"1227","Male","Gen Z","full-time year-round worker","NA","non-college","White","Never married","suburban",33469
"1228","Male","Silent","not ftyr","high_income","non-college","White","Divorced/separated/widowed","suburban",33438
"1229","Male","Gen X","not ftyr","NA","non-college","Non-white","Married","suburban",33383
"1230","Male","Boomers","full-time year-round worker","low_income","non-college","White","Never married","suburban",33169
"1231","Female","Gen X","not ftyr","low_income","college","Non-white","Never married","urban",33162
"1232","Male","Boomers","not ftyr","NA","non-college","Non-white","Never married","rural",33160
"1233","Female","Millennial","not ftyr","upper_middle_income","non-college","Non-white","Divorced/separated/widowed","suburban",33106
"1234","Female","Millennial","full-time year-round worker","middle_income","college","Non-white","Divorced/separated/widowed","suburban",32796
"1235","Female","Boomers","not ftyr","NA","non-college","White","Never married","suburban",32779
"1236","Female","Silent","not ftyr","low_income","non-college","Non-white","Never married","suburban",32593
"1237","Male","Millennial","not ftyr","upper_middle_income","non-college","White","Married","urban",32564
"1238","Male","Millennial","full-time year-round worker","high_income","non-college","White","Married","urban",32424
"1239","Female","Boomers","full-time year-round worker","upper_middle_income","college","Non-white","Never married","urban",32421
"1240","Male","Boomers","full-time year-round worker","low_income","non-college","Non-white","Divorced/separated/widowed","urban",32377
"1241","Male","Boomers","not ftyr","upper_middle_income","college","White","Never married","suburban",32246
"1242","Male","Boomers","not ftyr","NA","non-college","White","Never married","urban",32246
"1243","Male","Gen X","not ftyr","middle_income","college","White","Never married","urban",32160
"1244","Male","Gen X","not ftyr","middle_income","non-college","Non-white","Divorced/separated/widowed","rural",32026
"1245","Male","Boomers","full-time year-round worker","middle_income","college","White","Never married","urban",31939
"1246","Male","Boomers","not ftyr","NA","non-college","Non-white","Divorced/separated/widowed","rural",31921
"1247","Male","Silent","not ftyr","high_income","college","White","Divorced/separated/widowed","suburban",31901
"1248","Female","Silent","not ftyr","high_income","non-college","White","Divorced/separated/widowed","rural",31897
"1249","Female","Millennial","full-time year-round worker","high_income","non-college","Non-white","Married","urban",31885
"1250","Female","Boomers","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","suburban",31813
"1251","Male","Gen X","not ftyr","low_income","college","Non-white","Married","suburban",31602
"1252","Female","Millennial","not ftyr","low_income","college","White","Married","urban",31512
